IntentID,IntentName,Query,Response,Action,InputContent,OutputContent,Lifespan
1082,1082,farmer want to know information about  how to increase growth of gram?,Ans:- foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.,,,,
1083,1083,Q.- how to control fusarium wilt attack of gram,spray carbandazim + mancozeb 30gm. 15 liter of water,,,,
1084,1084,fertilizer dose of in wheat crop?,after first  irrigation urea25 kg /acre,,,,
1085,1085,"Onion, garlic Thrips control ?",Lambda Cyhalothrin 5% ECRecommendation for use :@ 300 mili / hactare,,,,
1086,1086,how to control weeds of wheat crop ?,"The broad leaf weeds

The control 2-4, D - Sodium Salt 200 g active ingredient per acre 25-30 days after spraying 200 liters of water to make solution.",,,,
1087,1087,Chickpea Root Rot  Rhizoctonia solani & Sclerotium rolfsii)   control ?,"Soil treatment :

Mix 5.0 kg of Trichoderma viride 1.0% WP in 100 kg FYM and broadcast over a hectare land mix well with soil and irrigate the field immediately",,,,
1088,1088,Q.- Fertiliser Dosage for Gram crop?,urea 30kg/hecter,,,,
1089,1089,Irrigation time of wheat?,"first irri. time-18-21 das,second-40-42 das,thard-55-60 das,fourth-80-85 das.",,,,
1090,1090,Wilt disease in gram ?,seed treatment by Thirum @ 2.5 gm./1 kg seed and Trichoderma viride powder @ 450-500 gm./1 Quintal seeds..,,,,
1091,1091,How to control of fungal attack in brinjal crop?,Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,,,,
1092,1092,time of irrigation in wheat crop ?,"frist irrigation-18-21, second irrigation-40-42, third irrigation-55-60, forth irrigation-65-70,five irrigation-80-85, six irrigation-100-105",,,,
1093,1093,control of wilt ?,spray mancozeb + carbendazim 30-40 gram /pump,,,,
1094,1094,caterpillar  in gram ?,"25 &#2312;.&#2360;&#2368;. &#2325;&#2381;&#2357;&#2368;&#2344;&#2366;&#2354;&#2347;&#2377;&#2360; 1000 &#2350;&#2367;.&#2354;&#2368;. &#2346;&#2381;&#2352;&#2340;&#2367; &#2361;&#2375;&#2325;&#2381;&#2335;&#2375;&#2351;&#2352; &#2325;&#2368; &#2342;&#2352; &#2360;&#2375; &#2331;&#2367;&#2396;&#2325;&#2366;&#2357; &#2325;&#2352;&#2375;&#2306;&#2404;

&#2309;&#2343;&#2367;&#2325; &#2360;&#2306;&#2325;&#2381;&#2352;&#2350;&#2339; &#2346;&#2352; &#2360;&#2368;.-44 &#2312;.&#2360;&#2368;. &#2346;&#2377;&#2354;&#2368;&#2335;&#2381;&#2352;&#2368;&#2344; 1000 &#2350;&#2367;.&#2354;&#2368;. 

&#2346;&#2381;&#2352;&#2340;&#2367; &#2361;&#2375;&#2325;&#2381;&#2335;&#2375;&#2351;&#2352; &#2325;&#2368; &#2342;&#2352; &#2360;&#2375; &#2331;&#2367;&#2396;&#2325;&#2366;&#2357; &#2325;&#2352;&#2375;&#2306;&#2404;

50 &#2312;.&#2360;&#2368;. &#2346;&#2381;&#2352;&#2347;&#2368;&#2344;&#2379;&#2347;&#2377;&#2360; 1500 &#2350;&#2367;.&#2354;&#2368;. &#2346;&#2381;&#2352;&#2340;&#2367; &#2361;&#2375;&#2325;&#2381;&#2335;&#2375;&#2351;&#2352; &#2325;&#2368; &#2342;&#2352; &#2360;&#2375; &#2331;&#2367;&#2396;&#2325;&#2366;&#2357; &#2325;&#2352;&#2375;&#2306;&#2404;",,,,
1095,1095,control insect in wheat ?,broadcast chloripyriphos 8-10 kg/acre,,,,
1096,1096,weedsin wheat,"Technical Name : Sulfosulfuron 75% WG Mode Of Action : Selective, Post-emergence Crops : Wheat Target Diseases: Broad Leaf Weeds, Grassy Weeds(Phalaris minor)

Recommended dose/acre : 13.5 gm/acr",,,,
1097,1097,wheat crop pest ?,zinc chilets 7-8g/pump (Edta)+ mencozeb 30-40g/pump spray,,,,
1098,1098,plant  protection in gram ?,quinolphas 40ml/pump,,,,
1099,1099,farmer want to know information about how to control sucking pest in been ?,spray imedaclorpid @8 ml/pump,,,,
1100,1100,farmer want to know information about	Varieties of  onion?,"Pusa Red, Pusa White Flat, Pusa White Round, Pusa Ratnar, S-131, Early Grano, Punjab Selection, Punjab Red Round, Punjab-48, Punjab Red Round, CO-1(Multiplier), CO-2, CO-3, CO-4, MDU-1, Hissar 2, Kalyanpur Red Round, Udaipur 101, Brown Spanish (Long day) and VL-1 (Long day).",,,,
1101,1101,brinjal and bottel gourd pest ?,mencozeb or redomil 45g/pump dreanching plant root,,,,
1102,1102,How to control thirips in garlic crop?,Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.,,,,
1103,1103,fertiliser dose of wheat,"170kg urea/ha ,109kg DAP/ha ,60kg/ha potsh",,,,
1104,1104,Method of sowing wheat?,In the dry state line distance of 30 cm from the queue Ardhsincit state line distance 23-25 &#8203;&#8203;cm In the fed state line to line distance of 20 -23 cm Place. In the latter stages of the bony line a distance of 15-18 cm from the queue Should be. Seed Sowing 3 -4 cm Click on depth. Bonnie shallow sowing in dry conditions is beneficial for germination.,,,,
1105,1105,"gram crop, wilt ?",tricoderma 2-3kg/acre + fym 50kg/acre use after irrigation .,,,,
1106,1106,weed control in wheat ?,"28-35 days after sowing and Aisoproturon 600 to 500 g 2,4-D sodium salt mixed with 750 liters of water per hectare

To use. Or

28-35 days after sowing Metsluron 4 grams and 600 750 liters of water per hectare with Aisoproturon use.",,,,
1107,1107,How to use water soluabe fertilizer in wheat crop ?,Ans:- foliar application of IFFCO 19:19:19 water soluable fertilizer @ 100 gm/pump.,,,,
1108,1108,fertilizer use in gram ?,foliar application of IFFCO 19:19:19 water soluable fertilizer @ 100 gm/pump.,,,,
1109,1109,how to control fungle infaction in chilli crop?,spary of copper oxichloride @ 40-45 gm/pump + streptrocyclin @ 2 gm/pump,,,,
1110,1110,farmer want to know information about how to control white fly in chili?,spray imedaclorpid @8 ml/pump,,,,
1111,1111,protection in gram ?,qunalphos 40 ml/ pump,,,,
1112,1112,weed management in coriander?,"No, herbicide use in coriander",,,,
1113,1113,about animal rearing?,contact 1800-180-1199,,,,
1114,1114,sucking pest of chickpea?,Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.,,,,
1115,1115,lentil crop growth ?,"npk, 19-19, 150g/pump spray and after bayo zyme 30ml/pump +0-52-34, 150g/pump",,,,
1116,1116,how to control of weed in wheat crop?,spray salfosulfuron 13.5ml/acre,,,,
1117,1117,How to control white fly ?,Spray Dimethoate (Rogar) or Triazophos 40 ml per pump.,,,,
1118,1118,how to control weed?,apply sulfosulfuron 13.5 gm/pump,,,,
1119,1119,wilt control in chickpea?,"Tricoderma  viride 2.5 kg/ha mix in 50 kg FYM/acre , sprinkered with water and cover with polythein and apply after 2 days when proper moisture in field",,,,
1120,1120,mangomlaformation ?,spraying of Carbendazim @ 1 gm/lit,,,,
1121,1121,does of tricoderma,3 kg mix with 100 kg FYM,,,,
1122,1122,que:-how to control gram caterpillar in pigeoan pea crop?,apply propenophos+cypermetrin @ 30 ml per pump,,,,
1123,1123,plant protection in gram ?,quanalphas 2 ml / litre,,,,
1124,1124,control of aphid in chilli,spray dimethoate 40 ml/pump,,,,
1125,1125,how to control wilt in brinjal?,Mancozeb 63% + Carbendazim 12% WP 40 gram at 15 liter of water.,,,,
1126,1126,control of cut warm in gram ?,Profenofos 40% + Cypermethrin 4% EC 300-350ml/acre,,,,
1127,1127,time of irrigation in gram crop ?,"Irrigation: -

Gram crop irrigation in two starts, the first 45 and second 75 days after the day when the fruit should become fruit. If irrigation is available, then before flowering 40-45 days should irrigate.",,,,
1128,1128,wheat crop growth  for ?,"npk, 19-19, 150-200g/pump",,,,
1129,1129,harbicid in wheat crop ?,jhatka 160 gram/ pump spray,,,,
1130,1130,harbicid in wheat ?,metsulfurun methyl 20  persent 8 gram/ acre,,,,
1131,1131,Shoot & fruit borer ?,spray of chlorepyriphos @ 35-40 ML./pump..,,,,
1132,1132,how to control of weeds priemargence ?,pendimethalin 50 ml/pump,,,,
1133,1133,How to control of fungal attack in gram  crop?,"Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water 

use of traicoderma virdi 2.5-3 kg with 50 kgFYM/ACRE.",,,,
1134,1134,gram wilt ?,tricoderma viridi 2-3kg/acre +fym 50kg/acre mix and use gram crop,,,,
1135,1135,how control  coller rot  of gram .,drenching with carbendazim@1gram per litre of water.,,,,
1136,1136,wheat crop weed ?,"TOTAL

Technical Name : Sulfosulfuron 75% + Metsulfuran Methyl 5% WG

Mode Of Action : Selective, Post-emergence

Crops : Wheat

Target Diseases: Broad Leaf Weeds(including Rumes sp.), Grassy Weeds (Phalaris minor)

Recommended dose/acre : 16 gm/acre",,,,
1137,1137,Fertilizers spray in crop ?,Spray of Sujla NPK 19-19-19  @ 100 gm./pump..,,,,
1138,1138,control of fungal disease in wheat ?,Spraying of   hexaconozole 5 ec  @ 30 ml /pump,,,,
1139,1139,fertilizers in potato ?,"Application of fertilizers 

Apply 15 t/ha of FYM and 2 kg each of Azospirillum and Phosphobacterium as basal and 120 kg N, 240 kg P and 120 kg K/ha in two splits; half as basal and the balance for top dressing on 30 days after sowing.  Apply Magnesium sulphate at 60 kg/ha as basal dose",,,,
1140,1140,Q- Collar rot of gram ?,spray Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump,,,,
1141,1141,control of weed in wheat crop ?,sulfo sulfuieran 13.5 gram per acer use .,,,,
1142,1142,CONTROL OF FUNGAL ATTECK IN GRAM ?,sprey Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump,,,,
1143,1143,late sowing varity of wheat ?,"GW 173, MP 4010, LOK-1",,,,
1144,1144,How to control wilt of gram ?,"Tricoderma  viride 2.5 kg/ha mix in 50 kg FYM/acre , sprinkered with water and cover with polythein and apply after 2 days when proper moisture in field",,,,
1145,1145,jack fruits pest  ?,Spray 1 % Bordeaux mixture or Copper oxychloride 2.5 g/lit. Three sprays must be given at 15 days interval.,,,,
1146,1146,&#2325;&#2377;&#2325; &#2325;&#2375;&#2350;&#2346;&#2379;&#2354;&#2366;&#2311;&#2335;&#2360;,25 &#2312;.&#2360;&#2368;. &#2325;&#2381;&#2357;&#2368;&#2344;&#2366;&#2354;&#2347;&#2377;&#2360; 1000 &#2350;&#2367;.&#2354;&#2368;. &#2346;&#2381;&#2352;&#2340;&#2367; &#2361;&#2375;&#2325;&#2381;&#2335;&#2375;&#2351;&#2352; &#2325;&#2368; &#2342;&#2352; &#2360;&#2375; &#2331;&#2367;&#2396;&#2325;&#2366;&#2357; &#2325;&#2352;&#2375;&#2306;&#2404;,,,,
1147,1147,water requirement water chickpea ?,Two irrigation requirement  in first 40 days (befor flowring)and second pod formation,,,,
1148,1148,fertilizer application for mustard ?,"&#2360;&#2367;&#2306;&#2330;&#2367;&#2340; &#2360;&#2352;&#2360;&#2379;

&#2319;&#2344;&#2346;&#2368;&#2325;&#2375;

32, 16, 8 &#2325;&#2367;&#2354;&#2379; / &#2319;&#2325;&#2337;&#2364;",,,,
1149,1149,Which fertilizer and nutrient give for better growth in wheat crop?,Spray N: P: K 19:19:19 100 grams  at 15 liter of water,,,,
1150,1150,fertilizer in pea?,urea 10-12 kg/acer,,,,
1151,1151,fertilizer application in gram?,NPK 19:19:19 100 gm/pump,,,,
1152,1152,control of fungal disease in gram?,of  Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump,,,,
1153,1153,control of fangal in potato,Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump,,,,
1154,1154,How to control weed in wheat -,Spray Sulfosulfuron 75% + Metsulfuran Methyl 5% WG @ 16 gm/acre,,,,
1155,1155,how to control wilt in tomato crop?,spray hexaconozol @ 30ml/pump.,,,,
1156,1156,How to control caterpillars in gram crop?,Troijofos 40 EC 30 Ml. / pump Rate of spray.,,,,
1157,1157,About poultry farming ?,please contact to dipartment of animal husbandry.,,,,
1158,1158,plant protection in brinjal?,Copper oxychloride @ 40 g /pump,,,,
1159,1159,How to control thirips in chilly crop?,Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.,,,,
1160,1160,fertiliser management in wheat ?,"npk,19:19:19,100gm/pump",,,,
1161,1161,How to control of fungal attack in tomato crop?,Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.,,,,
1162,1162,Varieties of Wheat crop?,"Irrigated Late sown- Lok-1, GW 173, DL 788-2 (vidisha), HI 1454 (Abha), MP 4010, HI 1418 (Naveen Chandusi), HD 2402, HD 2932 (Pust wheat-111)",,,,
1163,1163,leaf curl control in TOMATO ?,Imidacloprid 17.8 % SL (confidor) @ 7 ml /pump,,,,
1164,1164,growth in wheat crop?,spray iffco NPK 19:19:19 @ 150 gram / pump.,,,,
1165,1165,how to increase the no. of flowers in gram crop?,spary of fentic plus (coromandal company) @ 8-10 ml/pump,,,,
1166,1166,how to increase the growth of gram crop?,spary of IFFCO N:P:K 19;19;19 @ 100 gm/pump,,,,
1167,1167,how to increase growth in gram crop?,spray iffco NPK 19:19:19 @ 150 GRAM /PUMP.,,,,
1168,1168,plant protection in brinjal ?,carbendazim +mancozeb 35-40ml/pump,,,,
1169,1169,control of weeds in wheat ?,spray salfo salfuron 13.5 gram/acre,,,,
1170,1170,How to control white fly  in potato crop?,Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.,,,,
1171,1171,how to control grassy weeds in wheat crop?,spray clodinafop propargil 15 %WP @ 16 gram/pump.,,,,
1172,1172,pest control in chillies ?,"spray rogor 40ml/pump, OR imedacloropid 3-5ml/pump",,,,
1173,1173,How to control of fungal attack in potato crop?,Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.,,,,
1174,1174,Die-back of jack fruit ?,Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,,,,
1175,1175,new variety,"Co 7, Coorg Honey dew and Surya.",,,,
1176,1176,fungal attact in gram ?,carbendazim +mancozeb 30 gram / pump,,,,
1177,1177,Fertilizers in Wheat ?,Afetr 15-21 days broadcasting of 35-40 kg. Urea / acre and next after 45 days broadcasting of Urea 40 kg./acre..,,,,
1178,1178,how to control wilt in gram?,"2.5 g seed / ha. Treat Carbadajim Spray.

Benomail 1.5 g or 1 g kg seed treated with Gram carbadjim to Thairm and 2.",,,,
1179,1179,how to use water soluble fertilizer in gram?,spray of 0:52:34 200 gm par pump.,,,,
1180,1180,how to control dampinoff disease in brinjal crop,spray cabendazim+mencozeb@35g+npk:19:19:19@100g/pump and dricodarma viride 5kg+50kg fym/acre brocasting,,,,
1181,1181,HOW TO CONTROL YELLOW RUST DISEASES WHEAT CROP,SPRAY CARBENDAZIM+MENCOZEB@35G+NPK:19:19:19@100G/PUMP,,,,
1182,1182,how to control yellowness in wheat ?,spray hexaconazole @ 15 ml / pump.,,,,
1183,1183,HOW TO CONTROL FROST.,SPRAY SULFURIC ACID  AT THE RATE OF 1ML./LITRE OF WATER.,,,,
1184,1184,how to control wilt?,apply saaf (carbendazim +mancozeb) 30 gm/pump,,,,
1185,1185,how to control of weed of wheat ?,"2,4-d  35 ml/pump  to control of weed of wheat",,,,
1186,1186,thrips in garlic ?,Methyl Demadon @ 15-20 ML./pump.,,,,
1187,1187,how to increase growth in wheat ?,spray NPK 19:19:19 @ 200 gm / pump.,,,,
1188,1188,coller rot in gram?,Mencozeb + Carbindazim (Saaf or  sixer)@ 30 g /pump,,,,
1189,1189,Variety of potato ?,"Ans- Kufri Jyoti, Kufri Muthu, Kufri Swarna, Kufri Thangam, Kufri Malar, Kufri Soga and Kufri Giriraj are commonly cultivated, chipsona-1,2,3 ,kufri chadramukhi.",,,,
1190,1190,variety of water melon?,"Varieties: Sugar Baby and Arka Manik. 

Hybrids: Arka Jyoti and Pusa Bedana.",,,,
1191,1191,zinc sulphate in gram ?,spray karein zinc sulphate @ 2.5 gram / liter .,,,,
1192,1192,Varieties of tomato?,"Tomato varieties= Vaisali, Rupali, Rashmi, Rajni, Roma, Arka Vikash, Arka Meghali, Arka Aabha, Arka Alok, Arka Vishal, Arka Vardan, Arka Shreshtha, Arka Abhishek,  Arka Saurabh, pusa 120, Pusa Sheetal, jawahar tamatar-99, HS-101, Sweet-72, Pusa Hybrid-2, Pusa Hybrid-1, Pusa Hybrid-4,  Pant bahar, Earth-3, Eatrh-4, Naveen-2000.",,,,
1193,1193,how to control weeds in wheat?,":- Spray the solution of Sulfosulfuran @ 25.0g a.i./ha in 250-300 liters of water /ha.or Metribuzin @ 175 g a.i./ha in at least 500 liters of water /ha. or 2,4-D sodium salt and Isoproteuran @ 500gm/hac in 600-700lit of water.",,,,
1194,1194,how to control of narrow leaf &broad leaf weed in wheat crop?,spray of sulfosulfuron 13.5 gram /acre.,,,,
1195,1195,gram caterpiller control of gram,spray chlorpyriphos +cyper methrin 35ml/ pump,,,,
1196,1196,How to control leaf curl of chilli?,Ans;- Collect and destroy infected virus plants as soon as they are noticed. If it is not possible spray the crop with systemic insecticides. Like Monocrotophos 1.5 ml or Dimethoate 2ml of Acephate 1g per litre of water.,,,,
1197,1197,fungal infection,mancozeb 45g/pump spray,,,,
1198,1198,How to control Weeds of Wheat?,".- spray Sulfosulfuron 75% + Metsulfuran Methyl 5% WG 16 gm. Per acre. Mode Of Action: - Selective, Post-emergence Herbicide. Target Diseases: Broad Leaf Weeds, Grassy Weeds (Phalaris minor)",,,,
1199,1199,farmer want to know information about how to control defoliators in gram?,to control defoliators  spray Indoxacarb 14.5 % SC @ 13-15ml /pump,,,,
1200,1200,weeds control,&#2310;&#2311;&#2360;&#2379;&#2346;&#2381;&#2352;&#2379;&#2335;&#2370;&#2352;&#2366;&#2344; 300 &#2327;&#2381;&#2352;&#2366;&#2350; &#2360;&#2325;&#2381;&#2352;&#2367;&#2351; &#2340;&#2340;&#2381;&#2357; &#2346;&#2381;&#2352;&#2340;&#2367; &#2319;&#2325;&#2396; 250 &#2354;&#2368;&#2335;&#2352; &#2346;&#2366;&#2344;&#2368; &#2350;&#2375;&#2306; &#2328;&#2379;&#2354; &#2348;&#2344;&#2366;&#2325;&#2352; &#2348;&#2379;&#2344;&#2368; &#2325;&#2375; 30-35 &#2342;&#2367;&#2344; &#2348;&#2366;&#2342; &#2331;&#2367;&#2396;&#2325;&#2366;&#2357; &#2325;&#2352;&#2375;&#2306;&#2404; &#2311;&#2360;&#2325;&#2375; &#2346;&#2381;&#2352;&#2351;&#2379;&#2327; &#2360;&#2375; &#2342;&#2379;&#2344;&#2379;&#2306; &#2361;&#2368; &#2346;&#2381;&#2352;&#2325;&#2366;&#2352; &#2325;&#2375; &#2326;&#2352;&#2346;&#2340;&#2357;&#2366;&#2352; &#2344;&#2367;&#2351;&#2306;&#2340;&#2381;&#2352;&#2367;&#2340; &#2325;&#2367;&#2351;&#2375; &#2332;&#2366; &#2360;&#2325;&#2340;&#2375; &#2361;&#2376;&#2306;&#2404;,,,,
1201,1201,how to control brodleav weed wheat crop,"2,4-D@35ML/PUMP SPRAY wheat crop",,,,
1202,1202,tell me use of urea in wheat?,use of urea 40-45 kg/acre.,,,,
1203,1203,:- how to control weeds in wheat crop?,"To control all the broad-leaved weeds 2, 4-D should be mixed in about 400 to 600 litres of water for spraying in an area of one hectare",,,,
1204,1204,how to control of weeds in wheat ?,"2,4-d 40 ml/pump",,,,
1205,1205,control of fungal attack in gram?,drenching of captan + hexaconazol 25-30 gm/pump.,,,,
1206,1206,control of fungal disease in lentil ?,Spraying of   hexaconozole 5 ec  @ 30 ml /pump,,,,
1207,1207,wilte attack of gram ?,carbandazim+mancozeb 40gm/pumps,,,,
1208,1208,weather inforamtion ?,"29/12 30/12 31/12 01/01 02/01

Rainfall (mm) 0 0 0 0 0",,,,
1209,1209,How to control of fungal attack in soyabean crop?,Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water,,,,
1210,1210,how to control wilt diseases gram crop,carbendazim+mencozeb@35g+zinc salphet@35g/pump spray,,,,
1211,1211,HOW TO INCREASE GROWTH IN WHEAT CROP?,spray iffco NPK 19:19:19 200 GRAM/PUMP.,,,,
1212,1212,farmer want to know information about How to control of fungal attack in gram  crop?,carbandazim + mancozeb 45gm. 16 liter of water.,,,,
1213,1213,how to increase flower initiation in brinjal crop?,spary of sulpher @ 20 gm + boran 40 ml for per pump,,,,
1214,1214,how to control catterpillar in gram crop?,spray indoxacarb ( awant) @ 15 ml/pump.,,,,
1215,1215,how to control wilt of chickpea?,Ans:- The affected plants should be removed and destroyed. Spot drenching of the solution Kasubi ( kasukamycine 3% SL) @ 250ml/acer + 50ml Cursur ( Flufilazol 40% EC) or Carbendazim (0.1%). Crop rotation with a non-hSost crop such as cereals.,,,,
1216,1216,cater pillar attack in gram?,spray of profenophos + cypermethrin (rocket)40 ml/ pump,,,,
1217,1217,flower drop,planofix 5ml/pump spray,,,,
1218,1218,wheat crop growth ?,"npk, 19-19, 150-200g/pump spray",,,,
1219,1219,wheat crop weed for ?,"sulfosulfuron (sf-10), 13.5g/pump acre spray for wheat weed",,,,
1220,1220,Farmer needs information regarding control measures of blast in paddy crop?,Recommended dose of spray hexaconazole 5% EC 400ml at per acer.,,,,
1221,1221,How to control white grub in groundnut crop?,Recommended for cartap hydro chloride 7 to 10 kg or 300 - 400 ml at per Acer.,,,,
1222,1222,Farmer needs information regarding control measures of stem borer in paddy crop,cartap hydro chloride 4 % gr @ 6-8 kg/acer broadcast with 8-10 kg sand,,,,
1223,1223,Farmer wants to know information about how to control stem borer in paddy?,Recommended for to control stem borer in paddy apply phorate 10G @ 12.5kg/hac,,,,
1224,1224,farmer want to know information about  how to increase growth of  safed musli crop?,Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.,,,,
1225,1225,Farmer needs information regarding how to increase growth of paddy ?,Recommended for N: P: K 0:52:34 momo potassium phosphate (Potassium Dihydrogen Phosphate) 1 kg at per Acer or 100 gram per pump,,,,
1226,1226,How to control of fungal attack in paddy crop?,Recommended for Spray tebuconazol 25% EC 200 ml at 200 liter of water.,,,,
1227,1227,Farmer needs information regarding control measures of mealy bug in paddy crop?,Spray recommended dose of Troijofos 40 EC 1000 Ml/hac.,,,,
1228,1228,farmer want to know information about Varieties of Potato?,"Kufri Alankar, Kufri Chandra Mukhi, Kufari Neetral ji 2524, Kufri Bahar 3792 E, Kufri Shil Mann",,,,
1229,1229,Farmer needs information regarding how to control sucking pest in tomato crop?,Spray fipronil 5 % (regent)@ 25 ml at 15 liter of water.,,,,
1230,1230,Farmer wants to know information about market information of urd ?,recommended for  market information of dabra of paddy  minimum-2080 maximum-2499 average-2291 Rs/Quintal,,,,
1231,1231,Farmer wants to know information about how to control Rice earhead bug in paddy crop ?,To control Rice earhead bug in paddy crop spray monocrotophos @ 30-40 ml per pump,,,,
1232,1232,Farmer wants to know information about varieties of mustard?,"Recommended for varieties of mustard jm-1, swarn jyoti, basundhra, rgl-73, pusa bold are the popular varieties under cultivation.",,,,
1233,1233,farmer want to fungal information,recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water,,,,
1234,1234,farmer want to know information about How to control of fungal attack in tamato  crop?,recommended for to control of fungal attack in tamato crop use thiophinate mithyl 25 gram and streptocyclin 2 gram at 15 liter of water,,,,
1235,1235,Farmer wants to know information about varieties of pea?,"Recommended for ooty 1, bonneville, arkel and azad are the popular varieties under cultivation.",,,,
1236,1236,farmer want to know information about weather forcasting ?,No Chance of rainfall for next 07 days in your  district.,,,,
1237,1237,how to control flower drop in Tometo ?,recommended for spray to planofix 5-7 mili/pump,,,,
1238,1238,farmer want to know information about How to control of fungal attack in paddy  crop?,recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water,,,,
1239,1239,Farmer wants to know information about update of registration of advisory service?,Your advisory service registration has been successfully updated on your mobile number from kisan call center.,,,,
1240,1240,farmer need information regarding how to control gandhi bug  in paddy?,recommended for spray to fipronil 30 ml/pump,,,,
1241,1241,How to increase size and production in  paddy crop?,Recommended for N: P: K 0:52:34 1 kg at per Acer,,,,
1242,1242,Farmer wants to know about varieties of Bengal gram crop?,"J.G.14, Jaki 9218, J.G.63, J.G. 412, J.G. 130, J.G.16, J.G. 11, J.G. 322, J.G.218, J.G. 74, and J.G. 315 are Bengal gram crop verities.",,,,
1243,1243,Farmer want to know information about variety of bengal gram ?,"Varieties



Recommended year



Duration (in days)



Yield (q / ha)



Major specialties



 

J.G. 14



2009 95-110 20-25

Suitable for making pulses, more temperature tolerant, cold-water resistant, irrigated areas of central region, recommended for late planting







Zakie 9218 2006 112 18-20

Low sprawling plant, prophage branches, plant light brown, grained angular shape, smooth surface, weed 20-27 grams, recommended for irrigated and unincorporated cultivation.",,,,
1244,1244,farmer wants to know about seed treatment of gram crop ?,"Seed treatment is essential to save crop from seed borne diseases for abundant produce. To protect against white clots and mildroevil Asita, treat the seeds at the rate of Carbendazim at 3 grams per kg seed to protect against metallic (Apron SD-35) 6 grams and stem rash or stem rash.",,,,
1245,1245,farmer want to know about government scheme ?,dear farmer contact  for  government scheme in your  block ,,,,
1246,1246,farmer wants to know information about beekeeping?,please contact to krishi vigyan kendra.,,,,
1247,1247,"farmer want to know information about seed treatment of wheat?

",recommended for   seed treatment of wheat treat the seed with vitavex 3gm/kg of seed,,,,
1248,1248,"Farmer needs information regarding seed treatment for pea crop ?
","For seed treatment-Use recommended dose of carbandazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or Thiamethoxam 78 WG 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.
Insecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed after treat with fungicide.",,,,
1249,1249,Farmer want to know how to control sucking pest in coriander crop ?,Recommended for spray to imidacloprid 5 mili/pump.,,,,
1250,1250,Farmer need information regarding control measures of fungal attack in rice  crop?,recommended for to control of fungal attack in rice  crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water,,,,
1251,1251,	Farmer needs information regarding how to control sucking pest in paddy   crop?,•	Spray fipronil 5 % (Regent)@ 25 ml at 15 liter of water.,,,,
1252,1252,"Farmer wants to know information about Varieties of mustard?
","Recommended for Varieties of mustard JM-1, Swarn jyoti, basundhra, RGL-73,Pusa bold are the popular varieties under cultivation.",,,,
1253,1253,farmer wants to know about safed musli varieties?,"Various species / varieties of white muesli
Various species of muculi are preserved such as chlorophytum borevalyanum, chlorophytum tuberose, chlorophytum arundenium, chlorophytum attenutam, chlorophytum brevskapam etc. But most of the availability of cholofitum borivalyanum and tuberose in the jungles of Madhya Pradesh is similar. The main difference between these two is that in tuberosum, a thread is similar to the crown, and after that its thickness increases, while in borivilionum, the thickness of the finger of the tuber is higher or the whole finger is thicker or It decreases downwards. Since it is difficult to remove peel in the context of tuberosum, it is not considered suitable for cultivation, mostly chlorophytum boreivalanum is cultivated.
",,,,
1254,1254,farmer want to know information about fertilizer MANAGEMENT IN MUSTARD ? ,"recommended for The quantity of manure and fertilizers based on soil + Urea 220 kg , 310 kg SSP and 42 kg of MURATE OF POTASH  should be used",,,,
1255,1255,farmer want information in wheat crop variety ?,"H.I. 1544,
G.W. 273,
G.W. 322,
J.W. 1201,
J.W. 1106,
J.W. 1215,
H.I. 8498",,,,
1256,1256,"Farmer want to know information about What is Minimum Support Prices of black gram crop ?


",Minimum Support Prices of black gram  crop 5600 Rs /quantal.,,,,
1257,1257,"farmer want to know information about fertilizer  schedule in mustard ?
","recommended for fertilizer  schedule in mustard  174 kg urea, 252 kg ssp AND 33 kg MOP/hacter",,,,
